0,11442.79,828.08,4656.58,8859.69,5198.97,3355.13,3511.61,63.76,5196.62,8181.24,1289.65,8845.85,7298.19,2494.19,1477.75,3512.34,5098.69,4131.58,7213.87
11442.79,0,10617.17,6787.7,20069.3,6248.5,14776.67,7939.59,11500.98,6249.39,19454.86,10153.15,2597.24,18666.65,13923.8,12899.73,7940.64,16515.3,7317.12,4229.44
828.08,10617.17,0,3832.91,9667.59,4376.38,4182.25,2683.68,888.28,4373.49,8995.51,467.76,8020.03,8121.92,3321.8,2302.95,2684.32,5925.97,3304.02,6387.89
4656.58,6787.7,3832.91,0,13355.41,545.57,7990.52,1186.59,4714.29,541.02,12716.9,3367.3,4191.94,11896.81,7136.43,6112.39,1192.26,9731,591.59,2561.96
8859.69,20069.3,9667.59,13355.41,0,13873.06,5588.73,12294.14,8796.37,13876.57,756.36,10097.35,17504.17,1847.57,6428.95,7396.21,12298.42,3957.72,12894.12,15896.73
5198.97,6248.5,4376.38,545.57,13873.06,0,8528.22,1729.65,5256.35,27.8,13239.62,3910.21,3654.7,12427.72,7675.49,6651.43,1734.56,10267.47,1121.27,2028.71
3355.13,14776.67,4182.25,7990.52,5588.73,8528.22,0,6862.5,3294.16,8527.58,4880.02,4637.25,12182.25,3952.28,861.95,1880.74,6863.89,1743.75,7479.99,10552.31
3511.61,7939.59,2683.68,1186.59,12294.14,1729.65,6862.5,0,3571.25,1722.48,11639.46,2225.25,5342.64,10791.31,6003.53,4981.77,20.36,8606.03,622.55,3710.93
63.76,11500.98,888.28,4714.29,8796.37,5256.35,3294.16,3571.25,0,5254.15,8118.26,1348.08,8904.15,7236.27,2433.53,1415.96,3572.1,5037.83,4190.87,7272.26
5196.62,6249.39,4373.49,541.02,13876.57,27.8,8527.58,1722.48,5254.15,0,13242.29,3907.6,3654.86,12428.8,7674.42,6650.35,1727.08,10267.19,1111.69,2027.5
8181.24,19454.86,8995.51,12716.9,756.36,13239.62,4880.02,11639.46,8118.26,13242.29,0,9431.81,16880.81,1094.07,5728.63,6710.42,11643.1,3220.15,12244.34,15266.56
1289.65,10153.15,467.76,3367.3,10097.35,3910.21,4637.25,2225.25,1348.08,3907.6,9431.81,0,7556.21,8569.78,3778.45,2756.54,2226.68,6380.82,2843.58,5924.26
8845.85,2597.24,8020.03,4191.94,17504.17,3654.7,12182.25,5342.64,8904.15,3654.86,16880.81,7556.21,0,16080.18,11328.36,10304.33,5343.82,13922.05,4720.12,1632.2
7298.19,18666.65,8121.92,11896.81,1847.57,12427.72,3952.28,10791.31,7236.27,12428.8,1094.07,8569.78,16080.18,0,4813.01,5820.45,10793.71,2230.42,11404,14456.29
2494.19,13923.8,3321.8,7136.43,6428.95,7675.49,861.95,6003.53,2433.53,7674.42,5728.63,3778.45,11328.36,4813.01,0,1024.07,6004.7,2604.67,6621.88,9697.6
1477.75,12899.73,2302.95,6112.39,7396.21,6651.43,1880.74,4981.77,1415.96,6650.35,6710.42,2756.54,10304.33,5820.45,1024.07,0,4983.21,3624.28,5599.31,8673.66
3512.34,7940.64,2684.32,1192.26,12298.42,1734.56,6863.89,20.36,3572.1,1727.08,11643.1,2226.68,5343.82,10793.71,6004.7,4983.21,0,8607.49,624.23,3712.32
5098.69,16515.3,5925.97,9731,3957.72,10267.47,1743.75,8606.03,5037.83,10267.19,3220.15,6380.82,13922.05,2230.42,2604.67,3624.28,8607.49,0,9223.15,12292.95
4131.58,7317.12,3304.02,591.59,12894.12,1121.27,7479.99,622.55,4190.87,1111.69,12244.34,2843.58,4720.12,11404,6621.88,5599.31,624.23,9223.15,0,3088.38
7213.87,4229.44,6387.89,2561.96,15896.73,2028.71,10552.31,3710.93,7272.26,2027.5,15266.56,5924.26,1632.2,14456.29,9697.6,8673.66,3712.32,12292.95,3088.38,0
